,train_mean,test_mean,train_std,test_std,ks_statistic,ks_pvalue,mw_statistic,mw_pvalue,potential_drift
sensor_1,1419.9710132256923,1418.562089670795,105.9463406139554,105.97916948173619,0.027794567297235007,2.0770746087409276e-14,941165836.5,5.301300227904663e-14,True
sensor_2,1205.4420244052158,1203.0865379070933,119.12342758532442,119.03941475737189,0.05406760815147754,2.3781096354144143e-53,952574169.0,1.8364495935415587e-26,True
sensor_3,8.031986086050708,8.039013856609103,3.61383881855097,3.623831018236659,0.001821095402033568,0.9999998066461991,912976609.0,0.8490219786807033,False
sensor_4,11.600745921613125,11.611322114677415,5.431801597465489,5.4468757892046185,0.02056358404526093,4.425287753841105e-08,925083234.0,0.0016488869089615918,True
sensor_5,282.6067867705873,283.07791738989727,146.00530614005993,146.48727930786166,0.023387687581871597,2.509516843160452e-10,894764119.0,2.3470872663326732e-07,True
sensor_6,2228.8791876709015,2229.05457356359,145.20981606834985,145.12573846155877,0.024933507496892826,1.1162063192803784e-11,931910377.5,5.963706389105511e-07,True
sensor_7,8525.200837069144,8521.509162131151,335.8120126761641,335.7957642273433,0.02766189118564788,2.8223953668687163e-14,937390963.0,8.492294014276847e-11,True
sensor_8,1.0949615878271546,1.09539407490218,0.12746884775626657,0.12770411340886456,0.012527035674572362,0.0028768977971647524,912578688.5,0.7586678942830422,True
sensor_9,42.98517234323554,42.91007148951192,3.2323720587863733,3.2275154489356033,0.05404439385422899,2.640536696965601e-53,953265859.5,2.3632626906256677e-27,True
sensor_10,266.06903439424093,266.4993512988732,137.6595069498954,138.10479015680116,0.02335668976388372,2.665713596248729e-10,893987679.5,7.369661062862529e-08,True
sensor_11,2334.557252553061,2334.6966735312285,128.06827104323716,127.88843228090381,0.09573378409551825,1.460810263942475e-166,996385077.5,1.9781492910756068e-113,True
sensor_12,8066.597682434569,8063.638811155894,84.83794969298572,83.8290377243219,0.03332305273422198,1.5915134319941044e-20,947421536.5,2.568343853724638e-20,True
sensor_13,9.329653544522778,9.315214409696685,0.7493354922324892,0.7476093833626317,0.04044647695619352,4.888898283889551e-30,952447062.5,2.666038321054762e-26,True
sensor_14,0.023325954723860197,0.023141125592068493,0.004711473795965339,0.004641682861447577,0.01848291317917017,1.3069501521557647e-06,930548203.0,1.2514882029368535e-08,True
sensor_15,348.30951096560574,347.9388073313524,27.754515422961234,27.759465051554777,0.030151237113349993,7.012278899545249e-17,941705804.0,1.59055775976112e-14,True
sensor_16,2228.806358005171,2229.0253008149216,145.32798014258134,145.23568293084895,0.001821095402033568,0.9999998066461991,912768143.0,0.8038674022404411,False
sensor_17,97.75683811082796,97.76461592774561,5.364066520346077,5.356411121159403,0.0005161126023639773,1.0,913189532.5,0.8341687942510841,False
sensor_18,20.78929593184397,20.839067105998645,9.869331200699564,9.908784876080677,0.020506558523561647,4.878960223178366e-08,895350264.5,5.465256567042324e-07,True
sensor_19,12.473422755259584,12.503918357800595,5.921615208351726,5.94458223827506,0.020576473945246643,4.328569944126066e-08,893882269.5,6.276214440648814e-08,True
setting1,94.04602020126862,94.06666470536318,14.237734626001536,14.217415052845139,0.0005161126023639773,1.0,913189532.5,0.8341687942510841,False
setting2,472.9102070351011,472.9300485422612,26.389707310759178,26.454685650765988,0.001821095402033568,0.9999998066461991,913465615.0,0.9566452271567787,False
setting3,579.6723994121915,579.5917039804654,37.289399020462405,37.338929313365085,0.029011902169945203,1.1637728381589598e-15,937914464.0,3.248811379262715e-11,True
