unit_id,total_cycles,RUL,setting1,setting2,setting3,condition_id
-0.0087,-0.0001,0.0,100.0,518.67,642.5,59
-0.0086,-0.0001,0.0,100.0,518.67,642.95,85
-0.0084,0.0005,0.0,100.0,518.67,642.9,82
-0.0081,0.0004,0.0,100.0,518.67,642.19,33
-0.0078,-0.0004,0.0,100.0,518.67,642.72,74
-0.0075,-0.0004,0.0,100.0,518.67,643.12,94
-0.0074,0.0003,0.0,100.0,518.67,642.3,42
-0.0073,-0.0003,0.0,100.0,518.67,643.09,93
-0.0072,-0.0001,0.0,100.0,518.67,642.36,46
-0.007,-0.0004,0.0,100.0,518.67,642.16,31
-0.0069,0.0003,0.0,100.0,518.67,643.05,91
-0.0068,0.0002,0.0,100.0,518.67,641.79,7
-0.0067,0.0003,0.0,100.0,518.67,643.75,105
-0.0066,0.0001,0.0,100.0,518.67,642.65,70
-0.0065,0.0002,0.0,100.0,518.67,642.78,77
-0.0064,0.0004,0.0,100.0,518.67,642.65,70
-0.0063,0.0001,0.0,100.0,518.67,641.95,15
-0.0062,0.0004,0.0,100.0,518.67,642.75,75
-0.0061,0.0005,0.0,100.0,518.67,643.63,103
-0.006,0.0005,0.0,100.0,518.67,642.21,35
-0.0059,0.0004,0.0,100.0,518.67,642.79,78
-0.0058,0.0005,0.0,100.0,518.67,643.13,95
-0.0057,0.0004,0.0,100.0,518.67,641.76,6
-0.0056,0.0005,0.0,100.0,518.67,642.93,84
-0.0055,0.0005,0.0,100.0,518.67,642.67,71
-0.0054,0.0006,0.0,100.0,518.67,644.01,108
-0.0053,0.0004,0.0,100.0,518.67,641.94,14
-0.0052,0.0005,0.0,100.0,518.67,642.34,44
-0.0051,0.0004,0.0,100.0,518.67,643.21,98
-0.005,0.0005,0.0,100.0,518.67,641.94,14
-0.0049,0.0005,0.0,100.0,518.67,643.14,96
-0.0048,0.0005,0.0,100.0,518.67,642.0,20
-0.0047,0.0005,0.0,100.0,518.67,643.32,101
-0.0046,0.0005,0.0,100.0,518.67,641.88,11
-0.0045,0.0005,0.0,100.0,518.67,641.99,19
-0.0044,0.0005,0.0,100.0,518.67,642.41,51
-0.0043,0.0005,0.0,100.0,518.67,642.35,45
-0.0042,0.0006,0.0,100.0,518.67,642.71,73
-0.0041,0.0004,0.0,100.0,518.67,642.16,31
-0.004,0.0005,0.0,100.0,518.67,642.83,80
-0.0039,0.0005,0.0,100.0,518.67,642.39,49
-0.0038,0.0005,0.0,100.0,518.67,643.79,107
-0.0037,0.0006,0.0,100.0,518.67,643.04,90
-0.0036,0.0005,0.0,100.0,518.67,642.17,32
-0.0035,0.0005,0.0,100.0,518.67,642.33,43
-0.0034,0.0006,0.0,100.0,518.67,642.56,63
-0.0033,0.0005,0.0,100.0,518.67,641.71,5
-0.0032,0.0005,0.0,100.0,518.67,642.77,76
-0.0031,0.0005,0.0,100.0,518.67,642.62,67
-0.003,0.0005,0.0,100.0,518.67,642.01,21
-0.0029,0.0006,0.0,100.0,518.67,643.15,97
-0.0028,0.0005,0.0,100.0,518.67,642.91,83
-0.0027,0.0005,0.0,100.0,518.67,642.24,38
-0.0026,0.0006,0.0,100.0,518.67,642.42,52
-0.0025,0.0006,0.0,100.0,518.67,642.15,30
-0.0024,0.0005,0.0,100.0,518.67,642.35,45
-0.0023,0.0006,0.0,100.0,518.67,642.39,49
-0.0022,0.0005,0.0,100.0,518.67,642.2,34
-0.0021,0.0005,0.0,100.0,518.67,642.45,55
-0.002,0.0005,0.0,100.0,518.67,642.64,69
-0.0019,0.0005,0.0,100.0,518.67,642.37,47
-0.0018,0.0006,0.0,100.0,518.67,642.43,53
-0.0017,0.0006,0.0,100.0,518.67,642.41,51
-0.0016,0.0005,0.0,100.0,518.67,642.84,81
-0.0015,0.0005,0.0,100.0,518.67,642.21,35
-0.0014,0.0006,0.0,100.0,518.67,642.23,37
-0.0013,0.0006,0.0,100.0,518.67,642.53,60
-0.0012,0.0006,0.0,100.0,518.67,642.37,47
-0.0011,0.0006,0.0,100.0,518.67,642.49,58
-0.001,0.0006,0.0,100.0,518.67,642.38,48
-0.0009,0.0005,0.0,100.0,518.67,641.97,17
-0.0008,0.0005,0.0,100.0,518.67,641.54,1
-0.0007,0.0006,0.0,100.0,518.67,641.82,9
-0.0006,0.0006,0.0,100.0,518.67,642.33,43
-0.0005,0.0006,0.0,100.0,518.67,642.22,36
-0.0004,0.0005,0.0,100.0,518.67,642.54,61
-0.0003,0.0005,0.0,100.0,518.67,642.5,59
-0.0002,0.0006,0.0,100.0,518.67,642.42,52
-0.0001,0.0006,0.0,100.0,518.67,641.93,13
0.0,0.0005,0.0,100.0,518.67,642.16,31
0.0001,0.0006,0.0,100.0,518.67,643.61,102
0.0002,0.0006,0.0,100.0,518.67,642.58,64
0.0003,0.0006,0.0,100.0,518.67,642.44,54
0.0004,0.0006,0.0,100.0,518.67,642.1,26
0.0005,0.0005,0.0,100.0,518.67,642.33,43
0.0006,0.0006,0.0,100.0,518.67,642.13,28
0.0007,0.0005,0.0,100.0,518.67,642.35,45
0.0008,0.0006,0.0,100.0,518.67,642.12,27
0.0009,0.0006,0.0,100.0,518.67,642.35,45
0.001,0.0005,0.0,100.0,518.67,642.48,57
0.0011,0.0005,0.0,100.0,518.67,642.99,87
0.0012,0.0006,0.0,100.0,518.67,641.91,12
0.0013,0.0006,0.0,100.0,518.67,642.67,71
0.0014,0.0006,0.0,100.0,518.67,642.02,22
0.0015,0.0006,0.0,100.0,518.67,642.54,61
0.0016,0.0005,0.0,100.0,518.67,642.06,24
0.0017,0.0005,0.0,100.0,518.67,642.23,37
0.0018,0.0005,0.0,100.0,518.67,642.28,41
0.0019,0.0006,0.0,100.0,518.67,642.15,30
0.002,0.0005,0.0,100.0,518.67,641.37,0
0.0021,0.0005,0.0,100.0,518.67,642.61,66
0.0022,0.0006,0.0,100.0,518.67,642.55,62
0.0023,0.0006,0.0,100.0,518.67,642.77,76
0.0024,0.0006,0.0,100.0,518.67,642.01,21
0.0025,0.0006,0.0,100.0,518.67,642.28,41
0.0026,0.0005,0.0,100.0,518.67,643.3,100
0.0027,0.0005,0.0,100.0,518.67,642.96,86
0.0028,0.0006,0.0,100.0,518.67,641.71,5
0.0029,0.0005,0.0,100.0,518.67,641.96,16
