,mean,std,min,max,range,cv
sensor_1,1588.0791751618121,6.810418054769426,1564.3,1615.39,51.090000000000146,0.004288462540965881
sensor_2,1404.4712123786408,9.773178327387521,1377.06,1441.16,64.10000000000014,0.00695861776393086
sensor_3,14.620000000000003,3.55278554007621e-15,14.62,14.62,0.0,2.4300858687251774e-16
sensor_4,21.595841019417477,0.018116000048510272,21.45,21.61,0.16000000000000014,0.0008388652255877243
sensor_5,555.1438078478965,3.4373428742748646,549.61,570.49,20.879999999999995,0.006191806205315111
sensor_6,2388.0715546116508,0.1582849283520036,2386.9,2388.6,1.699999999999818,6.62814847596742e-05
sensor_7,9064.110809061489,19.980294309113177,9017.98,9234.35,216.3700000000008,0.002204330323183898
sensor_8,1.3012317961165052,0.0034848490401647348,1.29,1.32,0.030000000000000027,0.0026781154983802134
sensor_9,47.415706715210355,0.30007416142325294,46.69,48.44,1.75,0.006328581438753352
sensor_10,523.0508725728155,3.2553139774429254,517.77,537.4,19.629999999999995,0.006223704324266744
sensor_11,2388.0716432038835,0.15812066988897275,2386.93,2388.61,1.680000000000291,6.62126994133371e-05
sensor_12,8144.202916262136,16.504117682690822,8099.68,8290.55,190.86999999999898,0.002026486551524376
sensor_13,8.396175784789644,0.06051161367848584,8.1563,8.5705,0.41419999999999924,0.007207044639073369
sensor_14,0.030000000000000016,1.7347585644903372e-17,0.03,0.03,0.0,5.782528548301121e-16
sensor_15,392.5665453074434,1.7614585070963218,388.0,399.0,11.0,0.004487031633622304
sensor_16,2388.0,0.0,2388.0,2388.0,0.0,0.0
sensor_17,100.0,0.0,100.0,100.0,0.0,0.0
sensor_18,38.98855177993528,0.2488646946032721,38.17,39.85,1.6799999999999997,0.00638301971327249
sensor_19,23.393024037216826,0.1492337880155161,22.8726,23.9505,1.0779000000000032,0.0063794141269677045
