,correlation_with_rul,slope,r_squared,p_value,degradation_indicator
sensor_1,0.009771493701604407,1602.8689207159268,9.54820891604946e-05,0.015592788841051941,False
sensor_2,0.010093802973553473,1860.9759312419412,0.00010188485846891693,0.012486764382833289,False
sensor_3,0.004707283225928741,26.349258300113227,2.21585153691101e-05,0.24403262253245986,False
sensor_4,0.005678324975524257,47.76224601281672,3.224337452766256e-05,0.15993657398146285,False
sensor_5,0.007014685451707541,1591.9027970906102,4.9205811986397425e-05,0.08256068166928072,False
sensor_6,0.01115722764963786,2505.596544298214,0.00012448372882584356,0.005757529053312597,False
sensor_7,0.010003098735656699,5207.342413804349,0.00010006198431529669,0.013300065035732564,False
sensor_8,0.008508809482193076,1.6785664273245529,7.239983880425881e-05,0.03522165426781485,False
sensor_9,0.011906793447568221,59.66953447916538,0.00014177173020305352,0.0032107945957788623,False
sensor_10,0.007011184274514864,1500.1017022614901,4.915670493120454e-05,0.0827140049940857,False
sensor_11,0.010739762640787529,2127.2597223081693,0.00011534250158045551,0.007861607432054019,False
sensor_12,0.012658156228771967,1675.5100392510742,0.00016022891911199858,0.001731651809668654,False
sensor_13,-0.011263345852833957,-13.058403287313265,0.0001268629598005519,0.005310913528547328,False
sensor_14,0.00419128333575633,0.030337122603949294,1.756685600058871e-05,0.2996125485905262,False
sensor_15,0.009704266011004496,416.94803884702526,9.417277881233711e-05,0.016320368969791738,False
sensor_16,0.011153267293699354,2506.848264199915,0.00012439537132470372,0.005774833901244741,False
sensor_17,0.010744560497883707,89.13769243192907,0.00011544558029268297,0.007833951184979598,False
sensor_18,0.006191218194469836,95.04955075319036,3.833118273153433e-05,0.1254683439243431,False
sensor_19,0.006162649193815108,56.77475470588574,3.797824508603001e-05,0.12722199617419722,False
