,mean,std,min,max,range,cv
sensor_1,1419.9710132256923,105.9463406139554,1243.73,1612.88,369.1500000000001,0.07461162208746872
sensor_2,1205.4420244052158,119.12342758532442,1023.77,1439.23,415.46000000000004,0.0988213660827876
sensor_3,8.031986086050708,3.61383881855097,3.91,14.62,10.709999999999999,0.4499309112135027
sensor_4,11.600745921613125,5.431801597465489,5.71,21.61,15.899999999999999,0.4682286496203321
sensor_5,282.6067867705873,146.00530614005993,136.8,555.82,419.02000000000004,0.5166376498190157
sensor_6,2228.8791876709015,145.20981606834985,1914.77,2388.39,473.6199999999999,0.06514925388131462
sensor_7,8525.200837069144,335.8120126761641,7985.56,9215.66,1230.0999999999995,0.03939051045178802
sensor_8,1.0949615878271546,0.12746884775626657,0.93,1.3,0.37,0.11641399038409757
sensor_9,42.98517234323554,3.2323720587863733,36.23,48.51,12.280000000000001,0.07519737347976559
sensor_10,266.06903439424093,137.6595069498954,129.12,523.37,394.25,0.5173826682361014
sensor_11,2334.557252553061,128.06827104323716,2027.61,2390.48,362.8700000000001,0.05485762703107079
sensor_12,8066.597682434569,84.83794969298572,7848.36,8268.5,420.1400000000003,0.010517191142149647
sensor_13,9.329653544522778,0.7493354922324892,8.3357,11.0669,2.731200000000001,0.08031761186592043
sensor_14,0.023325954723860197,0.004711473795965339,0.02,0.03,0.009999999999999998,0.20198417821440579
sensor_15,348.30951096560574,27.754515422961234,303.0,399.0,96.0,0.07968348422648122
sensor_16,2228.806358005171,145.32798014258134,1915.0,2388.0,473.0,0.06520439948522623
sensor_17,97.75683811082796,5.364066520346077,84.93,100.0,15.069999999999993,0.05487152227923716
sensor_18,20.78929593184397,9.869331200699564,10.18,39.34,29.160000000000004,0.47473138258531555
sensor_19,12.473422755259584,5.921615208351726,6.0105,23.5901,17.5796,0.4747385961768031
