,correlation_with_rul,slope,r_squared,p_value,degradation_indicator
sensor_1,0.014746916163244533,2413.3429614144748,0.00021747153632576286,0.0006277681435364526,False
sensor_2,0.01512525523467319,2783.1189288351293,0.00022877334591400866,0.0004530890434664703,False
sensor_3,0.009049846402851822,50.51750102394791,8.189971991521008e-05,0.03587950028251548,False
sensor_4,0.010311444562144594,86.51577086275046,0.00010632588895818133,0.016810876033529678,False
sensor_5,0.012047285362688287,2717.000440628032,0.00014513708461004346,0.005217030568261632,False
sensor_6,0.015783415800672305,3540.2085381382535,0.00024911621433691217,0.00025252685241757147,False
sensor_7,0.015207644176595512,7888.420303516088,0.00023127244140193934,0.0004216252711657126,False
sensor_8,0.014561817369214,2.8671572463800907,0.00021204652509434251,0.000734406370516042,False
sensor_9,0.01739294555475539,86.84130747481386,0.0003025145550706852,5.5083960813664024e-05,False
sensor_10,0.012088976173021852,2570.5591600876,0.00014614334491189,0.005063191409473756,False
sensor_11,0.01429778937443775,2828.4096712097135,0.00020442678099578512,0.0009158545434013802,False
sensor_12,0.0183680695452696,2407.0524368168644,0.0003373859788198605,2.0527138646254476e-05,False
sensor_13,-0.017524057698172887,-20.283497828418124,0.00030709259820889254,4.837480708073275e-05,False
sensor_14,0.00850405720392219,0.06188919373823002,7.23189889275809e-05,0.048639362000718785,False
sensor_15,0.014769143612953456,633.1707366486755,0.00021812760306004386,0.0006159797406909,False
sensor_16,0.015778158214023893,3541.909140310331,0.0002489502766267695,0.00025373099409467466,False
sensor_17,0.014303193472781353,118.51110299949855,0.00020458134351981514,0.0009117571254553052,False
sensor_18,0.01105062433543538,168.46372948104195,0.00012211629820291665,0.010400691477427304,False
sensor_19,0.011026774656248003,100.8603694397436,0.00012158975931967332,0.010567491546729191,False
