,correlation_with_rul,slope,r_squared,p_value,degradation_indicator
sensor_1,-0.006766536773497519,-152.73909178056462,4.5786019907094214e-05,0.2874041025309507,False
sensor_2,-0.003917131876377941,-126.88608626543437,1.5343922136936165e-05,0.5379961591189713,False
sensor_3,-1.8491310376040824e-17,-2.177442355892563e-28,3.4192855942307505e-34,0.9999999999999977,False
sensor_4,0.006690981227984746,0.40175575850430034,4.476922979324427e-05,0.29282043881718434,False
sensor_5,0.0015852831252562824,18.060912042486784,2.5131225872223254e-06,0.8031788515893811,False
sensor_6,-0.0014580271980275097,-0.7649185183298621,2.125843310187951e-06,0.8186915213583683,False
sensor_7,-0.01062220299952886,-703.4390339936697,0.00011283119656319994,0.09490974101428716,False
sensor_8,0.0034597295877706693,0.03996097823756312,1.1969728820495805e-05,0.5864873044370689,False
sensor_9,-0.0016327004944977238,-1.6238470144043848,2.665710904733111e-06,0.797418030111739,False
sensor_10,0.00030464150512524954,3.2869412457531926,9.280644664497744e-08,0.9617998208505472,False
sensor_11,0.00018778252697181352,0.09841330352161842,3.526227743591987e-08,0.9764476399812637,False
sensor_12,-0.013586555930071695,-743.2102291224599,0.0001845945020409664,0.032667209196244974,False
sensor_13,-0.0016257923259640479,-0.32607221194194114,2.6432006871635888e-06,0.7982566377008773,False
sensor_14,-6.326586694695727e-17,-3.63762972191171e-30,4.0025699205501026e-33,0.999999999999992,False
sensor_15,-0.0035634738189508786,-20.80443737877462,1.2698345658348359e-05,0.5753130113079856,False
sensor_16,,0.0,,,False
sensor_17,,0.0,,,False
sensor_18,-0.00047683421128513043,-0.39331515637416187,2.2737086505191242e-07,0.940241027028911,False
sensor_19,0.00302027272548808,1.4939061302838066,9.122047336327197e-06,0.6348993627682709,False
